xmin=-15,xmax=15
ymin=-22.5,ymax=22.5
zmin=-12.5,zmax=12.5
0.9899998, -22.33, -8.769
1.1, -22.33, -8.826
1.210001, -22.33, -8.877001
1.32, -22.33, -8.941
1.43, -22.33, -8.998
1.540001, -22.33, -9.047001
1.65, -22.33, -9.089001
1.76, -22.33, -9.139001
1.870001, -22.33, -9.198001
1.98, -22.33, -9.253
2.09, -22.33, -9.312
2.200001, -22.33, -9.385
2.309999, -22.33, -9.442
2.42, -22.33, -9.487
2.530001, -22.33, -9.532001
2.639999, -22.33, -9.597
2.75, -22.33, -9.658
2.860001, -22.33, -9.708
2.969999, -22.33, -9.757001
3.08, -22.33, -9.8
3.190001, -22.33, -9.854
3.300001, -22.33, -9.918
3.41, -22.33, -9.975
3.52, -22.33, -10.027
3.630001, -22.33, -10.083
3.74, -22.33, -10.129
3.85, -22.33, -10.19
3.960001, -22.33, -10.239
4.07, -22.33, -10.296
4.18, -22.33, -10.343
4.290001, -22.33, -10.399
4.4, -22.33, -10.461
4.51, -22.33, -10.517
4.620001, -22.33, -10.567
4.73, -22.33, -10.625
4.84, -22.33, -10.684
4.950001, -22.33, -10.723
5.059999, -22.33, -10.77
5.17, -22.33, -10.847
5.280001, -22.33, -10.9
5.389999, -22.33, -10.945
5.5, -22.33, -10.994
5.610001, -22.33, -11.053
5.719999, -22.33, -11.108
5.83, -22.33, -11.165
5.940001, -22.33, -11.23
6.049999, -22.33, -11.282
6.16, -22.33, -11.33
6.27, -22.33, -11.388
6.380001, -22.33, -11.444
6.49, -22.33, -11.482
6.6, -22.33, -11.542
6.710001, -22.33, -11.602
6.82, -22.33, -11.654
6.93, -22.33, -11.708
7.040001, -22.33, -11.774
7.15, -22.33, -11.846
7.26, -22.33, -11.882
7.370001, -22.33, -11.925
7.48, -22.33, -11.995
7.59, -22.33, -12.037
7.700001, -22.33, -12.102
7.809999, -22.33, -12.155
7.92, -22.33, -12.202
8.030001, -22.33, -12.249
8.139999, -22.33, -12.294
8.25, -22.33, -12.357
-9.79, -22.22, -3.87
-9.68, -22.22, -3.925
-9.57, -22.22, -3.978
-9.459999, -22.22, -4.035
-9.35, -22.22, -4.055
-9.24, -22.22, -4.1
-9.129999, -22.22, -4.154
-9.02, -22.22, -4.178
-8.91, -22.22, -4.232
-8.799999, -22.22, -4.309
-8.69, -22.22, -4.354
-8.58, -22.22, -4.398
-8.469999, -22.22, -4.441
-8.36, -22.22, -4.492
-8.25, -22.22, -4.537
-8.139999, -22.22, -4.577
-8.03, -22.22, -4.613
-7.92, -22.22, -4.679
-7.81, -22.22, -4.741
-7.7, -22.22, -4.774
-7.59, -22.22, -4.831
-7.48, -22.22, -4.858
-7.37, -22.22, -4.917
-7.26, -22.22, -4.975
-7.15, -22.22, -5.012
-7.04, -22.22, -5.057
-6.929999, -22.22, -5.102
-6.82, -22.22, -5.155
-6.71, -22.22, -5.216
-6.599999, -22.22, -5.276
-6.49, -22.22, -5.314
-6.38, -22.22, -5.369
